Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Титановая труба 38 *2мм,1500,https://www.avito.ru/perm/remont_i_stroitelstvo/titanovaya_truba_38_2mm_3417513530,Труба титан 38*2мм Вт 1.120 метров. Покупал для производства. Не пригодилась. Цена указана за метр трубы.,129,сегодня в 11:45,Частное лицо,"Пермский край, Пермь"
Труба асбестовая 200 бу,1500,https://www.avito.ru/rossosh/remont_i_stroitelstvo/truba_asbestovaya_200_bu_3483826770,"2 трубы в наличии, лежат без дела ранее не пользовались ими.",0,сегодня в 11:36,Компания,"Воронежская область, Россошанский р-н, городское поселение Россошь, Россошь"
"Труба 1420 мм стенка 26 мм длина 0,8 м",35750,https://www.avito.ru/ozery/remont_i_stroitelstvo/truba_1420_mm_stenka_26_mm_dlina_08_m_3503057400,"Продам отрезки трубы диаметр 1420 мм. Стенка 26 мм. Длина каждого отрезка 0,8 м. Вес каждого отрезка — около 715 кг. Труба лежалая не б/у. Марка стали — не известна. Цена указана за один отрезок из расчета 50 руб/кг.",0,сегодня в 11:35,Частное лицо,"Московская область, г.о. Коломна, д. Свиридоново"
Трубы для забора,40,https://www.avito.ru/volgograd/remont_i_stroitelstvo/truby_dlya_zabora_3437264251,"Стальные трубы для забора. Диаметр 89 и 115. Длинна 2,5. Стоимость 89-1000 руб. 115-1500 руб. Доставим до Красноармейского и Кировского районов.",0,сегодня в 11:28,Частное лицо,"Волгоградская область, Волгоград"
Пластиковые трубы,100,https://www.avito.ru/sankt-peterburg/remont_i_stroitelstvo/plastikovye_truby_2317728372,"Труба материал пластик, диаметр 81мм, длина1530мм, толщина 3мм, продаю поштучно,. Цена за 1штуку 100руб.",2342,сегодня в 11:27,Частное лицо,Санкт-Петербург
Продам буровые цельнотянутые трубы б/у,40,https://www.avito.ru/arhangelsk/remont_i_stroitelstvo/prodam_burovye_tselnotyanutye_truby_bu_3503405483,"Продам трубы буровые б/у Дн-138 Дв-115 8,7м + 10,5м вес 1м 40кг, Дн-127 Дв-108 8,3м вес1м-36кг, Дн-146 Дв-124 обрезки по 0,55м 12 шт вес 1М-43кг цена всех труб за 1кг 40руб.",1,сегодня в 11:26,Частное лицо,"Архангельская область, Архангельск"
Труба металлическая 76 мм,230,https://www.avito.ru/rostov-na-donu/remont_i_stroitelstvo/truba_metallicheskaya_76_mm_2903616325?slocation=621540,"76*6 труба стенка — 6 мм. Новая Первоуральская. Цена — 230 руб за 1кг. Толщ стенки 6мм бесшовная тянутая. Качественная труба ГОСТ. Вес 1 метра = 10,36 кг. 9 шт — длинна одной трубы — 6 метров! Всего метров: 51-52 м. Эта труба, остаток от замены водовода. В многоквартирном доме. Листайте Фото Остатки других труб б/у — 27р за кг на Заборы и тд.",1009,сегодня в 11:21,Частное лицо,"Ростовская область, Ростов-на-Дону"
Трубы металлические бу,45,https://www.avito.ru/kovrov/remont_i_stroitelstvo/truby_metallicheskie_bu_2912492013,"Прошу Обратить Внимание! На Звонки И Сообщения Не Отвечаю! Количество Труб Меняется Ежедневно! Продажа труб! Разных диаметров и размеров! Цена 45 Рублей ЗА 1 КГ. Адрес: Ковров, Проезд Северный д13 (металлоприемка). Приезжайте, Смотрите, Выбирайте! Работаем Каждый День. ПН-ПТ 8.00-17.00. СБ И ВС 8.00-15.00.",3673,сегодня в 12:02,Частное лицо,"Владимирская область, Ковров"
Азбестовые трубы,1000,https://www.avito.ru/vityazevo/remont_i_stroitelstvo/azbestovye_truby_3690445810,Трубы азбест. 3шт Диаметр-200. Длина 5м. Трубы азбест. 1шт Диаметр-200. Длина 4м.,0,сегодня в 11:55,Частное лицо,"Краснодарский край, муниципальное образование Анапа, с. Витязево"
Труба 1020х10,45000,https://www.avito.ru/surgut/remont_i_stroitelstvo/truba_1020h10_3348408660,Продам 1020х10 — 20т восстановка под лежак. Отгрузка г. Сургут.,83,сегодня в 12:12,Частное лицо,"Тюменская область, Сургут"
Труба стальная 150-6мм,10000,https://www.avito.ru/krasnoyarsk/remont_i_stroitelstvo/truba_stalnaya_150-6mm_3149378522,Продам три трубы. Две длиной 3.1м. Одна 2.5м. Цена за все.,39,сегодня в 12:17,Частное лицо,"Красноярский край, Берёзовский р-н, Зыковский сельсовет, СНТ Черёмушки"
Бу трубы железобетонные,1,https://www.avito.ru/mahachkala/remont_i_stroitelstvo/bu_truby_zhelezobetonnye_3437301488,390 см×4см. Диаметр наружный 52см. Диаметр внутренний 43см.,0,сегодня в 12:17,Частное лицо,"Республика Дагестан, Махачкала"
