Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Труба стальная бу,5000,https://www.avito.ru/yaroslavl/remont_i_stroitelstvo/truba_stalnaya_bu_3311630118,"Труба б/у 530х8x 2,5м осталась одна.",285,сегодня в 10:54,Частное лицо,"Ярославская область, Ярославль"
Труба стальная спиральношовная 630-5,3000,https://www.avito.ru/nizhnyaya_maktama/remont_i_stroitelstvo/truba_stalnaya_spiralnoshovnaya_630-5_3018309693,"Труба стальная спиральношовная 630-5 длина 1,8м.",160,сегодня в 10:06,Частное лицо,"Республика Татарстан, Альметьевский р-н, муниципальное образование Нижняя Мактама, пос. городского типа Нижняя Мактама"
Труба металлическая бу 273,38,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_metallicheskaya_bu_273_2472613585,Труба 273 стенка от 7мм ( от 6 метров) 1850₽/ метр; труба 325 стенка 8мм (2700₽/метр.,1442,сегодня в 10:06,Частное лицо,"Республика Татарстан, Казань"
Труба бу 1420,55,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_bu_1420_3368585172,Труба 1420х12-20. В наличии трубы различных диаметов и толщин. Любое качество. Бу. Восстановленная. Лежалая новая. Работаем с Ндс и без. Доставка в любую точку России. По наличию и ценам уточняйте по телефону.,2,сегодня в 09:43,Частное лицо,"Республика Татарстан, Казань"
Труба бу 1020,65,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_bu_1020_3368252439,Труба 1020х9-15. В наличии трубы различных диаметов и толщин. Любое качество. Бу. Восстановленная. Лежалая новая. Работаем с Ндс и без. Доставка в любую точку России. По наличию и ценам уточняйте по телефону.,2,сегодня в 09:41,Частное лицо,"Республика Татарстан, Казань"
Труба бу 426,65,https://www.avito.ru/kazan/remont_i_stroitelstvo/truba_bu_426_3367899514,Труба 426х5-10. В наличии трубы различных диаметов и толщин. Любое качество. Бу. Восстановленная. Лежалая новая. Работаем с Ндс и без. Доставка в любую точку России. По наличию и ценам уточняйте по телефону.,0,сегодня в 09:39,Частное лицо,"Республика Татарстан, Казань"
Трубы бу 630,60,https://www.avito.ru/kazan/remont_i_stroitelstvo/truby_bu_630_3368170231,Труба 630х6-10. В наличии трубы различных диаметов и толщин. Любое качество. Бу. Восстановленная. Лежалая новая. Работаем с Ндс и без. Доставка в любую точку России. По наличию и ценам уточняйте по телефону.,1,сегодня в 09:36,Частное лицо,"Республика Татарстан, Казань"
Труба стальная 630 мм,6000,https://www.avito.ru/tomsk/remont_i_stroitelstvo/truba_stalnaya_630_mm_3476077904,"Один. Отрезок трубы длиной 83 см, второй отрезок. 90 см. Толщина стенки 8 мм.",47,сегодня в 08:58,Частное лицо,"Томская область, Томск"
Трубы бу 1420 ст15.7-20,1,https://www.avito.ru/verhnyaya_pyshma/remont_i_stroitelstvo/truby_bu_1420_st15.7-20_3058931968,Труба бу 1420 ст15.7-20.,37,сегодня в 08:01,Частное лицо,"Свердловская область, Верхняя Пышма"
Труба стальная электросварная бу. От 70 до 1220мм,43,https://www.avito.ru/nizhniy_tagil/remont_i_stroitelstvo/truba_stalnaya_elektrosvarnaya_bu._ot_70_do_1220mm_3254123322,"В продаже Трубы стальные электросварные Б/У. ! В хорошем состоянии! Г. Нижний Тагил. Трубы различного диаметра, от 70 до 1200мм. Длина от 4м до 6м. Цена. 43р/кг.",985,сегодня в 07:48,Частное лицо,"Свердловская область, Нижний Тагил"
Медная труба медь трубка медные трубы из меди,1260,https://www.avito.ru/habarovsk/remont_i_stroitelstvo/mednaya_truba_med_trubka_mednye_truby_iz_medi_2934917497,"Девять медных труб производства СССР, в отличном сохранном состоянии. На фото десять труб, одну трубу забрали, осталось девять. Стенка трубы не 1 мм как в магазинах, а 2 мм, труба не с бухты, не гибкая, не гнущаяся. Внутренний диаметр 23 — 24 мм, толщина стенки 2 мм, внешний диаметр 27 — 28 мм, вес одной трубы от 1700 грамм до 1800 грамм, длина и вес на фото. Цена на медь при сдаче на металлоприёмке на 13 октября — 630 руб/кг, поэтому считаю цену 1260 руб/кг (в два раза больше, чем даст нам металлоприёмка) абсолютно справедливой красной ценой, то есть каждая труба в пределах 2150 — 2290 руб, если сразу все девять медные трубы, то 19 000 руб (торг с 19 700 руб). Хабаровск, район Южнопортовая, досы.",247,сегодня в 07:45,Частное лицо,"Хабаровский край, Хабаровск"
