Название,Цена,Ссылка,Описание,Просмотров,Дата публикации,Продавец,Адрес
Трубы под дорогу 320 и 159,800,https://www.avito.ru/tuymazy/remont_i_stroitelstvo/truby_pod_dorogu_320_i_159_2893187289?slocation=621540,"Продаю трубы 320мм за 2200руб, 159 мм толщина 6,7 и 8м от 800руб за метр, рельсы от 1400 руб за метр.",2947,сегодня в 09:22,Частное лицо,"Республика Башкортостан, Туймазинский р-н, Туймазы"
Труба стальная,400,https://www.avito.ru/miass/remont_i_stroitelstvo/truba_stalnaya_2004533893,Продаю трубу стальную ф89 мм. — 2 м. Цена за погонный метр.,1557,сегодня в 09:19,Частное лицо,"Челябинская область, Миасс"
Асбестовая труба,700,https://www.avito.ru/rostov-na-donu/remont_i_stroitelstvo/asbestovaya_truba_1914888369,"Асбестовая труба 250 длина 2 метра,",0,сегодня в 09:08,Частное лицо,"Ростовская область, Ростов-на-Дону"
Профильная труба 160х80х5,1000,https://www.avito.ru/peremyshl/remont_i_stroitelstvo/profilnaya_truba_160h80h5_3228973353,"Лежалая труба. Порезана по 2,5 метра. Возможна доставка. В наличии 200 метров. Цена за метр.",1470,сегодня в 09:05,Частное лицо,"Калужская область, Перемышльский р-н, сельское поселение Перемышль, с. Перемышль"
Железобетонные трубы,610,https://www.avito.ru/yakutsk/remont_i_stroitelstvo/zhelezobetonnye_truby_3761980525,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",0,сегодня в 08:55,Частное лицо,"Республика Саха (Якутия), Якутск"
Железобетонные трубы,610,https://www.avito.ru/vidnoe/remont_i_stroitelstvo/zhelezobetonnye_truby_3762297003,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",0,сегодня в 08:55,Частное лицо,"Московская область, Ленинский г.о., Видное"
Железобетонные трубы,610,https://www.avito.ru/kemerovo/remont_i_stroitelstvo/zhelezobetonnye_truby_3762409733,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",0,сегодня в 08:55,Частное лицо,"Кемеровская область, Кемеровский г.о., Кемерово"
Железобетонные трубы,610,https://www.avito.ru/samara/remont_i_stroitelstvo/zhelezobetonnye_truby_3762621993,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",1,сегодня в 08:55,Частное лицо,"Самарская область, Самара"
Железобетонные трубы,610,https://www.avito.ru/achinsk/remont_i_stroitelstvo/zhelezobetonnye_truby_3762310135,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",1,сегодня в 08:55,Частное лицо,"Красноярский край, Ачинск"
Железобетонные трубы,610,https://www.avito.ru/sochi/remont_i_stroitelstvo/zhelezobetonnye_truby_3761719973,"B наличии. - Фoтo реальные. - На опт отличные скидки. Работаем с Ндс, принимаем любую форму оплаты. Имеется самовывоз. Качество отличное. Почему стоит выбрать у нас. - Прозрачность сделки. - Имеются в наличии. - Имеется вся документация. - Качество лучшее, что есть на рынке. - Собственная доставка. - Гарантия. Звоните.",0,сегодня в 08:55,Частное лицо,"Краснодарский край, Сочи"
